manufacturer_name,transmission,odometer_value,year_produced,engine_capacity,body_type,price_usd,price_usd_new
45,0,190000,2010,2.5,10,10900.0,AboveAverage
45,0,290000,2002,3.0,10,5000.0,BelowAverage
45,0,402000,2001,2.5,9,2800.0,BelowAverage
45,1,10000,1999,3.0,8,9999.0,AboveAverage
45,0,280000,2001,2.5,10,2134.11,BelowAverage
45,0,132449,2011,2.5,10,14700.0,AboveAverage
45,0,318280,1998,2.5,10,3000.0,BelowAverage
45,0,350000,2004,2.5,8,4500.0,BelowAverage
45,0,179000,2010,2.5,10,12900.0,AboveAverage
45,0,571317,1999,2.5,10,4200.0,BelowAverage
45,1,280000,2003,2.0,9,6900.0,AboveAverage
45,0,256000,2008,3.6,9,8350.0,AboveAverage
45,1,321000,2002,2.0,9,4300.0,BelowAverage
45,1,49999,2001,1.3,2,1666.0,BelowAverage
45,0,154685,2011,2.5,10,8600.0,AboveAverage
45,0,163219,2004,2.0,10,7300.0,AboveAverage
45,0,318650,2005,3.0,10,7587.97,AboveAverage
45,1,191000,2005,2.0,8,10950.0,AboveAverage
45,0,179000,2014,2.0,9,12700.0,AboveAverage
45,0,159000,2013,2.0,9,16500.0,AboveAverage
45,0,257495,2008,2.5,10,8700.0,AboveAverage
45,0,241402,2005,3.0,9,7500.0,AboveAverage
45,0,188000,2006,3.0,9,8650.0,AboveAverage
45,0,240000,2001,2.5,10,3500.0,BelowAverage
45,0,249448,2002,2.5,10,3800.0,BelowAverage
45,0,250000,2007,3.0,9,7200.0,AboveAverage
45,0,417000,1997,2.0,10,1850.0,BelowAverage
45,0,377000,1999,2.5,10,3800.0,BelowAverage
45,1,300000,1999,2.0,10,3000.0,BelowAverage
45,1,270000,2004,2.0,8,6200.0,Avg
45,1,444444,1999,2.0,10,3700.0,BelowAverage
45,0,299000,1994,2.2,10,650.0,BelowAverage
45,1,340000,1993,1.6,10,2000.0,BelowAverage
45,1,123456,1991,2.2,8,800.0,BelowAverage
45,1,118000,2011,2.5,8,14950.0,AboveAverage
45,0,246113,2008,1.5,2,5350.0,Avg
45,0,128748,2016,3.6,10,17059.12,AboveAverage
45,1,100000,1994,2.0,8,1700.0,BelowAverage
45,0,342790,1999,2.5,10,3500.0,BelowAverage
45,1,390000,1997,2.0,9,3000.0,BelowAverage
45,0,215000,2008,2.5,10,8100.0,AboveAverage
45,1,288500,2006,2.5,10,8500.0,AboveAverage
45,0,225000,2005,3.0,9,7500.0,AboveAverage
45,0,310000,2001,2.5,3,3300.0,BelowAverage
45,0,121000,2014,2.0,9,14950.0,AboveAverage
45,0,242000,2003,2.5,9,4490.0,BelowAverage
45,1,286,1998,2.5,10,2650.0,BelowAverage
45,0,209000,2007,2.0,8,6950.0,AboveAverage
45,1,195000,2006,3.0,8,8200.0,AboveAverage
45,0,126705,2014,2.5,10,16500.0,AboveAverage
45,0,164153,2008,2.5,10,8500.0,AboveAverage
45,1,143000,2009,1.5,2,6450.0,Avg
45,1,463491,2002,2.5,10,3150.0,BelowAverage
45,1,321869,1998,2.2,10,1900.0,BelowAverage
45,1,250000,2005,2.0,8,4899.0,BelowAverage
45,1,260000,1999,2.5,10,2500.0,BelowAverage
45,1,300000,1999,2.0,9,1700.0,BelowAverage
45,0,358047,1999,2.5,10,1800.0,BelowAverage
45,1,296000,2003,2.0,10,6150.0,Avg
45,0,183000,2012,2.0,9,12900.0,AboveAverage
45,0,116000,2010,2.5,8,7250.0,AboveAverage
45,1,450000,1995,2.0,10,900.0,BelowAverage
45,0,180000,2008,2.5,10,9400.0,AboveAverage
45,1,343455,2001,2.0,10,3300.0,BelowAverage
45,0,202777,2009,2.5,8,8200.0,AboveAverage
45,0,230000,2001,2.5,9,4200.0,BelowAverage
45,1,80000,1992,1.2,2,2100.0,BelowAverage
45,0,408263,1999,2.5,10,1499.0,BelowAverage
45,0,193,2010,2.5,10,9800.0,AboveAverage
45,0,300000,1998,2.5,10,2500.0,BelowAverage
45,1,285000,2001,2.5,10,3650.0,BelowAverage
45,1,363500,1994,2.0,10,1400.0,BelowAverage
45,1,127138,2005,2.5,8,5400.0,Avg
45,0,88000,2014,2.0,9,12950.0,AboveAverage
45,0,128000,2012,2.0,9,15490.0,AboveAverage
45,0,177000,2010,2.5,10,13500.0,AboveAverage
45,1,350000,2000,2.0,10,2000.0,BelowAverage
45,1,173000,2005,2.5,9,7500.0,AboveAverage
45,0,280000,2004,2.5,9,5800.0,Avg
45,1,270000,1998,2.5,9,2750.0,BelowAverage
45,0,310000,1996,2.0,10,3299.0,BelowAverage
45,1,450000,1996,2.0,10,1400.0,BelowAverage
45,0,179000,2008,3.6,9,9900.0,AboveAverage
45,0,175000,2013,2.5,10,15900.0,AboveAverage
45,1,130000,2008,2.5,2,13500.0,AboveAverage
45,0,305000,1999,2.5,9,3750.0,BelowAverage
45,0,294000,1999,2.0,10,3400.0,BelowAverage
45,1,353000,2000,2.5,10,4250.0,BelowAverage
45,1,400000,2003,2.0,10,5500.0,Avg
45,1,329786,2001,1.6,10,4100.0,BelowAverage
45,1,230000,2003,2.0,10,7000.0,AboveAverage
45,1,160000,2010,2.5,9,12600.0,AboveAverage
45,0,279000,2008,3.6,9,5400.0,Avg
45,0,80000,2016,2.0,8,14500.0,AboveAverage
45,0,394289,2002,2.5,10,3900.0,BelowAverage
45,0,256000,2012,2.5,10,14227.45,AboveAverage
45,0,160000,2011,2.5,9,17000.0,AboveAverage
45,1,218000,1997,2.5,9,3750.0,BelowAverage
45,0,273588,2006,2.5,10,6000.0,Avg
45,1,103975,2011,2.5,9,15500.0,AboveAverage
45,1,330000,1995,2.2,8,1900.0,BelowAverage
45,0,205328,2008,2.5,2,6499.0,Avg
45,0,353624,2001,3.0,10,5250.0,Avg
45,1,170000,2008,1.0,6,5199.0,Avg
45,0,370000,2004,2.5,10,6000.0,Avg
45,0,233000,2000,2.0,10,6800.0,AboveAverage
45,1,354056,1998,2.2,10,1900.0,BelowAverage
45,0,160000,2010,2.5,9,8650.0,AboveAverage
45,1,295000,1996,2.0,10,1565.02,BelowAverage
45,0,100000,2012,2.5,10,16300.0,AboveAverage
45,1,180000,1998,2.0,8,6900.0,AboveAverage
45,0,60000,2001,2.5,10,2900.0,BelowAverage
45,1,185075,2003,2.5,8,7000.0,AboveAverage
45,0,405555,2001,2.5,10,4990.0,BelowAverage
45,1,185000,2008,1.5,8,6300.0,Avg
45,0,152888,2009,2.5,8,11000.0,AboveAverage
45,1,193000,2009,1.5,2,7000.0,AboveAverage
45,1,197,1999,2.0,10,3000.0,BelowAverage
45,0,162544,2010,2.5,9,9700.0,AboveAverage
45,1,46671,2017,2.5,9,8790.0,AboveAverage
45,0,56800,2015,2.5,10,23400.0,AboveAverage
45,0,260000,2007,3.0,8,6800.0,AboveAverage
45,1,150000,2010,1.0,2,6450.0,Avg
45,0,334567,1992,2.2,10,1600.0,BelowAverage
45,1,350000,1987,1.8,10,1500.0,BelowAverage
45,1,388000,1996,2.0,10,2300.0,BelowAverage
45,1,96370,2009,1.0,2,5500.0,Avg
45,0,300000,2007,2.0,10,5999.0,Avg
45,0,280000,2007,2.0,8,9000.0,AboveAverage
45,0,69500,2014,2.0,8,24900.0,AboveAverage
45,0,237000,2004,3.0,10,6150.0,Avg
45,0,289740,2001,2.5,10,4200.0,BelowAverage
45,0,164000,2001,2.0,8,3700.0,BelowAverage
45,0,280000,1997,2.0,8,1500.0,BelowAverage
45,0,95000,2012,2.0,9,12999.0,AboveAverage
45,0,95000,2012,2.0,2,12999.0,AboveAverage
45,1,193000,2008,2.0,9,9481.65,AboveAverage
45,1,225000,2006,2.0,8,6800.0,AboveAverage
45,0,306000,2007,2.5,10,7700.0,AboveAverage
45,0,362102,1997,2.5,10,2800.0,BelowAverage
45,0,80467,2015,2.0,9,22850.0,AboveAverage
45,0,300000,1998,2.5,10,4990.0,BelowAverage
45,0,270370,2006,2.5,8,7000.0,AboveAverage
45,0,100000,2012,1.6,9,14000.0,AboveAverage
45,1,236000,1999,2.0,10,3599.0,BelowAverage
45,0,350000,2004,2.5,8,4500.0,BelowAverage
45,0,370149,1996,2.0,10,3290.0,BelowAverage
45,0,330000,1998,2.0,10,4200.0,BelowAverage
45,0,252000,2007,3.0,9,8200.0,AboveAverage
45,1,343444,1996,2.0,10,1800.0,BelowAverage
45,1,212000,1994,2.2,10,2000.0,BelowAverage
45,0,50000,2009,2.5,9,14300.0,AboveAverage
45,1,295000,1998,2.0,8,1400.0,BelowAverage
45,0,116000,2015,2.0,9,18900.0,AboveAverage
45,1,182000,2007,1.5,8,5500.0,Avg
45,1,226800,2001,2.5,10,3799.0,BelowAverage
45,0,339572,1997,2.2,10,1600.0,BelowAverage
45,0,104000,2012,3.6,9,13500.0,AboveAverage
45,0,187000,2011,2.5,10,12300.0,AboveAverage
45,0,92300,2012,2.5,9,14499.0,AboveAverage
45,0,135000,2014,2.5,9,19500.0,AboveAverage
45,1,76000,2015,2.0,2,14000.0,AboveAverage
45,1,72000,2014,2.0,9,14938.82,AboveAverage
45,0,35000,2006,3.0,9,6600.0,Avg
45,0,170000,2010,2.5,10,11550.0,AboveAverage
45,1,364000,2008,2.0,10,9050.0,AboveAverage
45,0,25480,2014,1.6,2,19499.0,AboveAverage
45,1,144841,2009,2.5,8,10500.0,AboveAverage
45,0,280000,2004,2.5,10,2800.0,BelowAverage
45,0,187000,2010,2.5,10,11650.0,AboveAverage
45,0,45250,2016,2.5,9,28950.0,AboveAverage
45,0,80467,2016,2.5,9,27950.0,AboveAverage
45,0,145000,2007,3.6,9,10750.0,AboveAverage
45,0,333134,1998,2.5,8,1800.0,BelowAverage
45,0,175000,2011,2.5,10,12200.0,AboveAverage
45,1,170000,1999,2.0,9,7000.0,AboveAverage
45,0,180000,2007,2.0,2,6650.0,AboveAverage
45,1,292901,2004,2.5,10,7100.0,AboveAverage
45,0,380000,2005,2.5,10,7000.0,AboveAverage
45,0,328000,2000,2.5,10,4000.0,BelowAverage
45,1,235000,2007,2.0,8,7100.0,AboveAverage
45,1,26500,1994,1.8,10,1896.99,BelowAverage
45,1,273588,2000,2.5,10,2950.0,BelowAverage
45,1,221100,2006,2.5,8,5500.0,Avg
45,0,198242,2005,2.5,10,6800.0,AboveAverage
45,1,263105,2005,2.5,10,7000.0,AboveAverage
45,0,109000,2014,2.5,10,17000.0,AboveAverage
45,1,350000,2005,2.5,10,6200.0,Avg
45,0,200000,1998,1.8,10,1950.0,BelowAverage
45,0,193121,2010,2.5,9,10499.0,AboveAverage
45,0,241402,2001,2.5,10,4000.0,BelowAverage
45,1,250000,1997,2.0,10,2300.0,BelowAverage
45,0,321869,1998,2.2,8,2500.0,BelowAverage
45,1,239065,2005,2.5,10,6900.0,AboveAverage
45,1,25000,1994,2.0,10,800.0,BelowAverage
45,0,185000,2010,2.5,8,11990.0,AboveAverage
45,0,350000,2002,2.5,10,4000.0,BelowAverage
45,0,198000,2008,2.5,9,10150.0,AboveAverage
45,0,205000,2006,2.0,8,6200.0,Avg
45,0,154000,2008,3.6,9,8900.0,AboveAverage
45,0,225308,2008,2.5,9,11000.0,AboveAverage
45,1,178900,1992,1.2,5,2134.12,BelowAverage
45,0,176000,2012,2.0,9,11300.0,AboveAverage
45,0,240000,2012,2.5,10,15500.0,AboveAverage
45,0,325000,2003,2.0,8,4650.0,BelowAverage
45,0,140000,2007,3.6,9,10700.0,AboveAverage
45,0,121000,2008,2.5,8,10300.0,AboveAverage
45,0,347000,2001,3.0,10,3950.0,BelowAverage
45,1,122000,2009,1.0,2,6200.0,Avg
45,0,289682,2002,2.5,10,3000.0,BelowAverage
45,1,98000,2012,2.5,8,14500.0,AboveAverage
45,0,93342,2012,2.0,9,13800.0,AboveAverage
45,0,52000,2015,2.5,9,35500.0,AboveAverage
45,0,199500,2007,2.5,9,7300.0,AboveAverage
45,0,160934,2011,3.6,9,14000.0,AboveAverage
45,1,344400,1997,2.5,9,3414.59,BelowAverage
45,1,155000,2005,2.0,8,9800.0,AboveAverage
45,1,97000,2005,2.0,8,8200.0,AboveAverage
45,1,222089,2008,2.5,8,10100.0,AboveAverage
45,1,190000,2006,2.5,8,11500.0,AboveAverage
45,0,13000,2018,2.5,10,27000.0,AboveAverage
45,1,280000,1990,2.0,8,1500.0,BelowAverage
45,0,150200,2008,2.5,9,8999.0,AboveAverage
45,0,228527,1999,2.5,10,4000.0,BelowAverage
45,0,180000,2005,2.5,10,6500.0,Avg
45,1,350000,1993,2.0,8,1000.0,BelowAverage
45,1,449007,2001,2.5,10,2500.0,BelowAverage
45,0,241402,2010,2.5,10,13400.0,AboveAverage
45,1,453024,2001,2.5,10,3000.0,BelowAverage
45,0,237000,2005,2.5,10,7000.0,AboveAverage
45,0,390000,1997,2.5,10,2300.0,BelowAverage
45,0,305775,2007,2.5,10,9600.0,AboveAverage
45,1,518209,1999,2.5,10,3500.0,BelowAverage
45,0,287000,2003,2.0,10,3400.0,BelowAverage
45,1,325000,2006,2.0,9,6800.0,AboveAverage
45,0,390000,2002,2.5,8,4900.0,BelowAverage
45,1,300000,1992,1.2,6,800.0,BelowAverage
45,0,500000,2001,2.5,10,3777.0,BelowAverage
45,1,250000,2004,2.0,8,4700.0,BelowAverage
45,0,179000,2000,2.5,10,3600.0,BelowAverage
45,0,999999,1991,2.2,10,400.0,BelowAverage
45,1,270000,2008,2.0,9,10200.0,AboveAverage
45,0,200000,2014,2.0,2,19500.0,AboveAverage
45,0,465000,1998,2.0,10,3000.0,BelowAverage
45,0,298533,2008,2.5,10,7900.0,AboveAverage
